#LUME VERSION, 0.54
#2848 point's captured data set in LUME at: 1/11/2020 : 4:19:13 pm
frame,x,y,z,int
4075,20176,5120.8,-101.2,360.99
4096,19886,5815.1,82.565,9383.7
4100,19873,5844.9,147.49,4724.5
4107,18296,9557.1,-12.584,442.55
4118,18362,9470.8,50.292,5981.5
4131,19454,7005.1,141,4341.6
4133,19442,7010.2,109.53,2009.1
4141,18921,8334.1,113.81,471.41
4143,19571,6572.6,85.126,3739
4145,19576,6589.6,94.15,691.54
4153,20099,5171.1,-40.748,1284.5
4154,20086,5159.5,4.4329,2265.8
4160,18881,8394.4,76.089,3323.1
4185,19526,6737.3,96.38,3918.5
4187,19576,6703.7,2.9954,2446.7
4187,18685,8742.1,56.443,2939.9
4188,19691,6655.6,47.168,3406.3
4193,20440,4129.2,-127.92,382.52
4194,20500,4112.3,-203.79,3057.8
4195,18333,9517,35.859,2245.3
4196,18323,9496.6,8.4517,1801.2
