x,y,z
21970,11001,-302.86
21102,10700,-234.86
25726,10488,-359.87
25728,10491,-350.18
22724,11264,-86.442
21450,10373,-324.05
22761,11270,-87.312
22748,11262,-68.923
22667,11248,-193.51
22720,10771,-342.09
23799,10998,-373.79
22954,10815,-252.06
22986,10799,-290.72
22074,10564,153.45
21819,10976,-297.95
25094,10846,-396.16
21284,10737,210.58
23377,11037,-237.69
21254,10750,243.52
22541,10954,-355.23
21133,10638,-244.74
23923,11043,-308.47
21017,10186,-315.75
21267,10583,-327.94
22408,10599,55.275
22475,10656,-20.893
21227,10796,-22.026
22148,10570,-279.9
22476,10615,42.527
22928,11084,-119.93
21733,10742,-312.33
22609,11160,-288.32
23239,11082,-69.405
23097,10903,115.01
25617,10451,-290.04
22669,10683,72.025
21355,10577,-437.92
22202,11050,317.02
22398,11015,21.814
21656,10892,-162.79
20933,10549,-59.376
23064,11127,-287.73
21705,11030,65.715
20906,10466,27.876
22163,11171,-169.28
22108,10674,-327.45
22033,10849,-475.22
21360,10705,-174.71
22730,10778,-358.22
24972,10746,-349.9
24967,10728,-356.93
21769,10607,295.78
21751,10591,222.73
21788,10568,268.17
21800,10580,211.09
21893,10484,45.757
22618,11193,-15.875
23981,10992,-317.19
24912,10707,-314.75
22191,11071,-319.96
24993,10730,-375.45
21736,10455,-228.82
21853,10470,-44.23
22647,10706,-274.71
23340,11102,-112.64
24597,10893,-334.55
22675,11136,-100.73
22929,10984,-359.96
21005,10487,-331.55
22720,11229,-25.151
20774,10322,-300.68
22371,11236,-23.456
23238,10909,-136.79
23352,10996,-117.39
21376,10888,-3.7295
22280,10617,-249.43
24849,10879,-284.8
23867,11001,-182.19
21794,10533,165.87
21748,10946,191.19
21809,10950,122.06
21197,10352,133.98
21737,11052,-17.088
25147,10716,-300.16
21823,11002,-254.95
21895,10985,-212.25
22554,11263,-58.567
21528,10950,-15.62
22681,11078,-406.48
22962,10820,46.008
25616,10451,-338.34
22876,10993,-331.17
20961,10154,-277.78
20953,10115,-302.78
21017,10083,-177.19
21932,10504,-18.323
25054,10711,-286.67
23419,11001,6.2676
22159,10978,-326.56
21324,10441,299.51
25649,10478,-318.51
25640,10463,-330.63
22949,11055,199.67
23105,10803,-89.356
21766,10597,-352.5
21769,10612,-338.69
22349,11047,-331.68
22725,10779,-358.39
22395,11215,-78.071
22227,11091,-207.42
22220,11178,-179.37
21758,10467,-122.07
20838,10233,-228.72
22210,10648,-497.6
22461,11062,-356.44
22284,11018,-268
21764,10419,-15.439
21700,10394,-16.062
21346,10442,234.35
24975,10713,-333.32
24989,10710,-400.46
22122,10560,38.507
24951,10727,-343.21
22534,10651,168.72
23978,11050,-339.22
22696,10773,-309.27
22491,10842,382.74
22596,10687,149
22556,10675,143.29
22574,10695,172.64
21531,10800,-466.01
21493,10793,-384.16
21137,10793,-22.521
21124,10741,30.446
23347,10971,-91.98
21259,10336,244.43
22702,11163,272.49
24339,10972,-463.58
22390,10848,-352.27
24992,10757,-319.92
24810,10812,-295.54
24791,10823,-282.95
21769,10529,217.87
22779,11025,-395.26
22728,11039,-446.65
22774,11065,-405.98
